X,Y,Z
0,0,0
0,0,1.508
1.41515,0.134209,2.01138
2.37232,0.0591653,0.848511
1.4215,0,-0.503381
-0.515154,0.892272,-0.364851
-0.515154,-0.892272,-0.364851
-0.42861,-0.936924,1.87285
-0.597095,0.839649,1.87285
1.6311,-0.675431,2.71317
1.53262,1.09565,2.51782
2.66293,-0.981207,0.681717
3.26198,0.654508,1.06924
1.95576,-0.519883,-1.30272
1.18301,1.01655,-0.826469
