Symbol,X,Y,Z
"C",0,0,0
"C",0,0,1.508
"S",0.00137339,-1.70147,2.11052
"C",1.7033,-2.26806,2.31164
"H",-0.015469,1.03019,-0.364851
"H",-0.884437,-0.528492,-0.364851
"H",0.899906,-0.501699,-0.364851
"H",-0.892688,0.514433,1.87285
"H",0.891856,0.515874,1.87285
"H",2.08709,-2.61881,1.35022
"H",1.73222,-3.08658,3.03541
"H",2.32263,-1.44237,2.67125
