Seq,Element,IsAroma,CCount,CHCount,NHBC,CharSym,CharVal
0,N,0,1,2,1,0,0
1,C,1,4,0,3,0,0
2,C,1,3,1,2,0,0
3,C,1,3,1,2,0,0
4,C,1,3,1,2,0,0
5,C,1,3,1,2,0,0
6,C,1,3,1,2,0,0
