Smiles,MinEnergy
C12C3C4C1C5C2C3C45,22021.9
C1=CC2=C(C3=C(C=CC4=C3C5=C(C=C4)C=CC6=C5C=CC=C6)C=C2)C=C1,10017.1
C1=CC2=C(C=CC=C2)C=C1,128.575
C1=CC2=CC3=CC=CC4=C3C5=CC(=C4)C=CC6=C5C=CC(=C6)C(=C2)C=C1,501086
C1C2CC3CC1CC(C2)C3,767.033
C1C2CC3CC1CC(C3)C2,1376.29
CC(=O)C,1.41574
CCC(CO)CCC(CN)CN,26.6889
CCC1CCC1,485.672
CCCOCC(=O)CCCCCC(N)CC,23.5188
