X,Y,Z
0,0,0
0,0,1.508
1.23106,0.710752,2.01138
1.0217,2.20172,1.92621
0.413944,2.69905,3.2136
0.238051,4.19506,3.14228
-0.372471,4.69201,4.4285
-0.550068,6.18778,4.35646
-1.16002,6.68481,5.64293
1.03031,0,-0.364851
-0.515154,0.892272,-0.364851
-0.515154,-0.892272,-0.364851
6.30881e-17,-1.03031,1.87285
-0.892272,0.515154,1.87285
2.0913,0.428592,1.39899
1.4161,0.428143,3.05087
0.349378,2.42884,1.09492
1.98256,2.69631,1.76259
1.07355,2.44968,4.04869
-0.5593,2.22509,3.36461
-0.420218,4.44559,2.30648
1.21116,4.67018,2.99406
0.286034,4.44368,5.26477
-1.34539,4.2169,4.57802
-1.20934,6.43711,3.52109
0.422389,6.66388,4.20713
-1.29085,7.76865,5.58983
-0.500073,6.43852,6.47866
-2.13187,6.20802,5.79403
