X,Y,Z
0,0,0
0,0,1.508
0.402615,-1.27459,1.98134
1.15102,-1.12115,3.17594
1.02261,0.125733,-0.364851
-0.620191,0.822737,-0.364851
-0.402416,-0.94847,-0.364851
-1.006,0.222469,1.87285
0.695665,0.759989,1.87285
1.4599,-2.10372,3.54172
0.534282,-0.628801,3.93216
2.03658,-0.512478,2.97604
